,Date,Max Temp,Station ID,Station Location
179,2018-06-29,74.0,GHCND:USW00023174,Los Angeles International Airport
180,2018-06-30,76.0,GHCND:USW00023174,Los Angeles International Airport
181,2018-07-01,73.0,GHCND:USW00023174,Los Angeles International Airport
182,2018-07-02,72.0,GHCND:USW00023174,Los Angeles International Airport
183,2018-07-03,73.0,GHCND:USW00023174,Los Angeles International Airport
184,2018-07-04,75.0,GHCND:USW00023174,Los Angeles International Airport
185,2018-07-05,80.0,GHCND:USW00023174,Los Angeles International Airport
186,2018-07-06,92.0,GHCND:USW00023174,Los Angeles International Airport
187,2018-07-07,93.0,GHCND:USW00023174,Los Angeles International Airport
188,2018-07-08,89.0,GHCND:USW00023174,Los Angeles International Airport
189,2018-07-09,91.0,GHCND:USW00023174,Los Angeles International Airport
190,2018-07-10,85.0,GHCND:USW00023174,Los Angeles International Airport
191,2018-07-11,80.0,GHCND:USW00023174,Los Angeles International Airport
192,2018-07-12,79.0,GHCND:USW00023174,Los Angeles International Airport
193,2018-07-13,76.0,GHCND:USW00023174,Los Angeles International Airport
194,2018-07-14,78.0,GHCND:USW00023174,Los Angeles International Airport
195,2018-07-15,78.0,GHCND:USW00023174,Los Angeles International Airport
196,2018-07-16,79.0,GHCND:USW00023174,Los Angeles International Airport
197,2018-07-17,76.0,GHCND:USW00023174,Los Angeles International Airport
198,2018-07-18,78.0,GHCND:USW00023174,Los Angeles International Airport
199,2018-07-19,79.0,GHCND:USW00023174,Los Angeles International Airport
200,2018-07-20,76.0,GHCND:USW00023174,Los Angeles International Airport
201,2018-07-21,77.0,GHCND:USW00023174,Los Angeles International Airport
202,2018-07-22,80.0,GHCND:USW00023174,Los Angeles International Airport
203,2018-07-23,85.0,GHCND:USW00023174,Los Angeles International Airport
204,2018-07-24,85.0,GHCND:USW00023174,Los Angeles International Airport
205,2018-07-25,78.0,GHCND:USW00023174,Los Angeles International Airport
206,2018-07-26,81.0,GHCND:USW00023174,Los Angeles International Airport
207,2018-07-27,76.0,GHCND:USW00023174,Los Angeles International Airport
208,2018-07-28,79.0,GHCND:USW00023174,Los Angeles International Airport
209,2018-07-29,83.0,GHCND:USW00023174,Los Angeles International Airport
210,2018-07-30,78.0,GHCND:USW00023174,Los Angeles International Airport
211,2018-07-31,81.0,GHCND:USW00023174,Los Angeles International Airport
212,2018-08-01,82.0,GHCND:USW00023174,Los Angeles International Airport
213,2018-08-02,80.0,GHCND:USW00023174,Los Angeles International Airport
214,2018-08-03,79.0,GHCND:USW00023174,Los Angeles International Airport
215,2018-08-04,81.0,GHCND:USW00023174,Los Angeles International Airport
216,2018-08-05,79.0,GHCND:USW00023174,Los Angeles International Airport
217,2018-08-06,83.0,GHCND:USW00023174,Los Angeles International Airport
218,2018-08-07,89.0,GHCND:USW00023174,Los Angeles International Airport
219,2018-08-08,94.0,GHCND:USW00023174,Los Angeles International Airport
220,2018-08-09,86.0,GHCND:USW00023174,Los Angeles International Airport
221,2018-08-10,87.0,GHCND:USW00023174,Los Angeles International Airport
222,2018-08-11,84.0,GHCND:USW00023174,Los Angeles International Airport
223,2018-08-12,81.0,GHCND:USW00023174,Los Angeles International Airport
224,2018-08-13,79.0,GHCND:USW00023174,Los Angeles International Airport
225,2018-08-14,78.0,GHCND:USW00023174,Los Angeles International Airport
226,2018-08-15,79.0,GHCND:USW00023174,Los Angeles International Airport
227,2018-08-16,81.0,GHCND:USW00023174,Los Angeles International Airport
228,2018-08-17,81.0,GHCND:USW00023174,Los Angeles International Airport
229,2018-08-18,79.0,GHCND:USW00023174,Los Angeles International Airport
230,2018-08-19,79.0,GHCND:USW00023174,Los Angeles International Airport
231,2018-08-20,82.0,GHCND:USW00023174,Los Angeles International Airport
232,2018-08-21,80.0,GHCND:USW00023174,Los Angeles International Airport
233,2018-08-22,78.0,GHCND:USW00023174,Los Angeles International Airport
234,2018-08-23,78.0,GHCND:USW00023174,Los Angeles International Airport
235,2018-08-24,78.0,GHCND:USW00023174,Los Angeles International Airport
236,2018-08-25,77.0,GHCND:USW00023174,Los Angeles International Airport
237,2018-08-26,78.0,GHCND:USW00023174,Los Angeles International Airport
238,2018-08-27,77.0,GHCND:USW00023174,Los Angeles International Airport
239,2018-08-28,76.0,GHCND:USW00023174,Los Angeles International Airport
